Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
14339,0.137500,1.875000,2.500000,-0.000013,-0.769207,0
14340,0.175000,2.000000,5.000000,-0.001870,-0.767946,0
14341,0.175000,0.812500,3.541667,-0.020877,-0.716412,0
14342,0.812500,1.687500,0.416667,-0.081446,-0.108448,0
14343,0.812500,1.687500,0.833333,-0.081623,-0.079488,0
14344,0.812500,1.500000,0.000000,-0.081461,-0.096050,0
14345,0.850000,1.562500,0.000000,-0.062086,-0.112674,0
14346,0.850000,2.000000,0.625000,-0.062081,-0.113008,0
14347,0.175000,0.750000,0.208333,-0.001157,-0.769128,0
14348,0.137500,1.062500,0.416667,-0.000013,-0.769207,0
14349,0.175000,1.062500,2.708333,-0.001804,-0.767162,0
14350,0.175000,1.500000,4.166667,-0.001811,-0.766435,0
14351,0.175000,2.000000,4.791667,-0.001377,-0.767805,0
14352,0.175000,0.937500,4.375000,-0.020827,-0.716412,0
14353,0.812500,1.875000,0.833333,-0.081475,-0.070978,0
14354,0.812500,1.437500,0.000000,-0.081455,-0.094057,0
14355,0.850000,1.875000,0.416667,-0.062080,-0.096903,0
14356,0.925000,1.875000,0.208333,-0.035203,-0.111126,0
14357,0.850000,1.937500,0.625000,-0.062077,-0.106856,0
14358,0.137500,1.500000,1.875000,-0.000014,-0.768158,0
14359,0.100000,1.562500,0.625000,-0.000001,-0.768327,0
14360,0.100000,1.812500,1.041667,-0.000001,-0.768859,0
14361,0.175000,1.875000,4.791667,-0.001734,-0.765210,0
14362,0.175000,0.812500,0.833333,-0.001266,-0.766571,0
14363,0.137500,2.000000,2.708333,-0.000014,-0.766622,0
14364,0.175000,0.687500,2.500000,-0.020816,-0.716412,0
14365,0.812500,1.500000,0.208333,-0.081462,-0.070978,0
14366,0.812500,1.500000,0.416667,-0.081462,-0.046328,0
14367,0.812500,1.937500,0.625000,-0.081463,-0.044375,0
14368,0.812500,2.000000,1.041667,-0.081474,-0.035693,0
14369,0.812500,1.625000,0.416667,-0.081454,-0.090110,0
14370,0.962500,1.812500,0.000000,-0.026301,-0.099962,0
14371,0.100000,1.937500,1.250000,-0.000001,-0.766754,0
14372,0.100000,1.312500,0.000000,-0.000001,-0.767799,0
14373,0.175000,0.812500,1.041667,-0.001685,-0.765210,0
14374,0.175000,1.625000,4.375000,-0.001692,-0.764737,0
14375,0.175000,0.750000,3.125000,-0.020782,-0.716412,0
14376,0.812500,1.562500,0.416667,-0.081462,-0.023222,0
14377,0.812500,1.625000,0.625000,-0.081454,-0.028685,0
14378,0.812500,1.937500,1.041667,-0.081463,-0.007111,0
14379,0.812500,1.625000,0.208333,-0.081454,-0.071198,0
14380,0.812500,1.750000,0.625000,-0.081443,-0.090110,0
14381,0.100000,1.375000,0.208333,-0.000001,-0.766754,0
14382,0.137500,1.687500,2.291667,-0.000015,-0.765126,0
14383,0.175000,1.687500,4.375000,-0.001437,-0.765066,0
14384,0.175000,1.812500,4.583333,-0.001456,-0.764811,0
14385,0.175000,1.562500,4.166667,-0.001501,-0.764673,0
14386,0.175000,1.750000,4.583333,-0.001673,-0.764373,0
14387,0.175000,1.937500,4.791667,-0.001542,-0.764401,0
14388,0.175000,1.062500,5.000000,-0.020770,-0.716412,0
14389,0.812500,1.437500,0.208333,-0.081455,-0.018311,0
14390,0.812500,1.562500,0.000000,-0.081461,-0.014051,0
